Case_ID,Suspect_ID,First_Name,Middle_Name,Last_Name,Alias,Sex,Race,Nationality,Date_of_Birth,Age,Height_cm,Weight_kg,Eye_Color,Hair_Color,Skin_Tone,Blood_Type,Dominant_Hand,Scars,Tattoos,Facial_Hair,Occupation,Marital_Status,Address,City,Province,Postal_Code,Phone_Number,Crime_Type,Crime_Severity,Case_Status,Officer_Assigned,Evidence_Count,Fingerprint_Match,DNA_Match,Arrest_Date,Case_Open_Date,Case_Close_Date,Sentence_Years,Mugshot_ID,Notes
C100263,S200263,Emma,,Singh,,Female,White,Canadian,1965-03-08,61,152,91,Green,Brown,Light,A-,Right,None,Dragon,None,Unknown,Single,13 Main St,Mississauga,Ontario,L34A9,555-3438,Cybercrime,1,Under Investigation,S. Patel,16,Yes,No,2025-08-18,2025-08-16,,2,MG300263,Synthetic training record
C100264,S200264,Aiden,,Smith,,Female,East Asian,Canadian,1975-12-26,51,199,77,Brown,Gray,Medium,AB+,Right,Small scar,Tribal,Mustache,Unknown,Married,566 Main St,Waterloo,Ontario,L12A0,555-2980,Cybercrime,1,Closed,L. Chen,13,Yes,No,2025-07-24,2025-07-14,2025-08-21,20,MG300264,Synthetic training record
C100265,S200265,Mason,,Smith,,Female,East Asian,Canadian,2003-11-08,23,179,59,Blue,Gray,Dark,O+,Right,Small scar,None,None,Unknown,Married,342 Main St,Brampton,Ontario,L40A8,555-7390,Robbery,5,Closed,A. Brown,17,Yes,Yes,2025-04-09,2025-03-31,2025-05-29,8,MG300265,Synthetic training record
C100266,S200266,Sophia,,Garcia,,Female,East Asian,Canadian,1969-12-21,57,190,71,Blue,Red,Medium,A+,Left,Small scar,Dragon,Beard,Unknown,Married,50 Main St,Brampton,Ontario,L72A5,555-5803,Theft,1,Closed,J. Carter,18,Yes,No,2025-08-26,2025-08-16,2025-12-28,19,MG300266,Synthetic training record
C100267,S200267,Emma,,Williams,,Female,White,Canadian,2000-07-22,26,198,54,Hazel,Blonde,Light,A-,Left,Small scar,Rose,Mustache,Unknown,Single,430 Main St,London,Ontario,L64A7,,Burglary,1,Under Investigation,S. Patel,14,Yes,Yes,2024-06-20,2024-06-18,,8,MG300267,Synthetic training record
C100268,S200268,Emma,,Chen,,Female,Latino,Canadian,1962-10-21,64,174,82,Green,Red,Light,A-,Right,Small scar,Rose,Beard,Unknown,Married,465 Main St,Waterloo,Ontario,L19A8,555-1313,Vandalism,1,Under Investigation,L. Chen,15,No,No,2025-06-07,2025-06-07,,14,MG300268,Synthetic training record
C100269,S200269,Sophia,,Garcia,,Male,Indigenous,Canadian,1995-06-03,31,186,78,Blue,Blonde,Medium,B+,Right,Small scar,None,None,Unknown,Single,320 Main St,Hamilton,Ontario,L69A1,555-3353,Theft,1,Open,S. Patel,14,No,Yes,2025-08-29,2025-08-20,,8,MG300269,Synthetic training record
C100270,S200270,Priya,,Brown,,Female,Latino,Canadian,1973-11-08,53,164,120,Hazel,Blonde,Light,A+,Right,Forearm scar,Tribal,Mustache,Unknown,Married,517 Main St,Hamilton,Ontario,L61A0,555-9158,Fraud,4,Under Investigation,S. Patel,10,No,No,2026-04-12,2026-04-02,,6,MG300270,Synthetic training record
C100271,S200271,Ethan,,Garcia,,Female,Latino,Canadian,1978-04-13,48,151,50,Green,Gray,Light,O+,Left,None,Tribal,Beard,Unknown,Single,482 Main St,Toronto,Ontario,L51A6,555-7430,Assault,4,Closed,L. Chen,5,No,No,2025-05-13,2025-05-08,2026-02-19,10,MG300271,Synthetic training record
C100272,S200272,Aiden,,Williams,,Male,White,Canadian,2002-02-03,24,187,72,Green,Red,Medium,A+,Left,Small scar,Tribal,Beard,Unknown,Single,424 Main St,Ottawa,Ontario,L88A3,555-8274,Fraud,2,Closed,S. Patel,23,No,Yes,2024-01-21,2024-01-12,2024-06-15,17,MG300272,Synthetic training record
C100273,S200273,Ava,,Smith,,Male,East Asian,Canadian,1994-10-14,32,197,78,Hazel,Blonde,Medium,A-,Left,None,Dragon,None,Unknown,Married,869 Main St,Waterloo,Ontario,L84A7,555-9945,Vandalism,3,Under Investigation,S. Patel,2,No,No,2024-05-06,2024-04-27,,9,MG300273,Synthetic training record
C100274,S200274,Arjun,,Lee,,Male,Indigenous,Canadian,1970-07-13,56,195,72,Hazel,Gray,Light,A-,Right,None,Rose,None,Unknown,Single,164 Main St,London,Ontario,L14A2,555-4230,Robbery,4,Open,L. Chen,3,Yes,Yes,2025-10-22,2025-10-16,,15,MG300274,Synthetic training record
C100275,S200275,Aiden,,Patel,,Male,Middle Eastern,Canadian,1961-09-10,65,183,81,Green,Brown,Medium,B+,Left,Forearm scar,Dragon,Beard,Unknown,Married,876 Main St,Mississauga,Ontario,L83A5,555-8719,Burglary,5,Closed,A. Brown,18,Yes,No,2025-07-31,2025-07-31,2025-10-12,4,MG300275,Synthetic training record
C100276,S200276,Mia,,Lee,,Male,Indigenous,Canadian,2000-10-19,26,162,117,Blue,Brown,Dark,A-,Left,Small scar,Rose,Beard,Unknown,Single,417 Main St,Ottawa,Ontario,L45A8,555-7717,Theft,4,Open,L. Chen,12,Yes,No,2025-04-17,2025-04-17,,14,MG300276,Synthetic training record
C100277,S200277,Olivia,,Lee,,Female,Latino,Canadian,1978-10-04,48,177,82,Green,Gray,Medium,A-,Right,None,Dragon,Beard,Unknown,Married,482 Main St,Brampton,Ontario,L68A9,555-5325,Robbery,4,Under Investigation,J. Carter,8,Yes,No,2025-01-13,2025-01-06,,7,MG300277,Synthetic training record
C100278,S200278,Ethan,,Garcia,,Male,Indigenous,Canadian,1998-01-11,28,195,71,Hazel,Black,Medium,A-,Left,Small scar,Rose,Mustache,Unknown,Married,822 Main St,London,Ontario,L85A8,555-7394,Robbery,4,Open,S. Patel,22,No,Yes,2025-01-25,2025-01-23,,12,MG300278,Synthetic training record
C100279,S200279,Sophia,,Williams,,Male,White,Canadian,1997-04-10,29,194,69,Blue,Red,Medium,A+,Left,None,Rose,Beard,Unknown,Single,577 Main St,London,Ontario,L15A4,555-6092,Assault,2,Open,S. Patel,4,Yes,No,2024-11-01,2024-10-27,,15,MG300279,Synthetic training record
C100280,S200280,Mason,,Lee,,Male,East Asian,Canadian,1973-07-05,53,170,72,Blue,Black,Dark,A-,Right,Forearm scar,Tribal,Mustache,Unknown,Married,96 Main St,Waterloo,Ontario,L48A4,555-5173,Burglary,4,Under Investigation,J. Carter,1,Yes,Yes,2025-03-18,2025-03-09,,11,MG300280,Synthetic training record
C100281,S200281,Olivia,,Smith,,Male,White,Canadian,1993-09-10,33,167,56,Blue,Red,Dark,O+,Right,None,Dragon,Beard,Unknown,Married,784 Main St,Toronto,Ontario,L38A6,555-9279,Burglary,2,Open,S. Patel,21,No,Yes,2024-07-27,2024-07-27,,18,MG300281,Synthetic training record
C100282,S200282,Emma,,Johnson,,Female,South Asian,Canadian,1977-04-17,49,168,105,Blue,Black,Dark,A-,Right,Small scar,None,Beard,Unknown,Married,564 Main St,Brampton,Ontario,L45A9,555-2036,Burglary,3,Under Investigation,L. Chen,16,No,No,2025-07-20,2025-07-12,,15,MG300282,Synthetic training record
C100283,S200283,Lucas,,Martin,,Male,Indigenous,Canadian,1960-03-08,66,161,117,Blue,Gray,Light,AB+,Left,Forearm scar,Dragon,None,Unknown,Married,829 Main St,Hamilton,Ontario,L32A6,555-9115,Cybercrime,2,Open,A. Brown,17,Yes,No,2025-05-27,2025-05-17,,4,MG300283,Synthetic training record
C100284,S200284,Liam,,Smith,,Male,East Asian,Canadian,1957-09-12,69,193,84,Hazel,Gray,Dark,A+,Right,Forearm scar,Dragon,Mustache,Unknown,Married,548 Main St,Hamilton,Ontario,L16A3,555-1278,Assault,2,Under Investigation,A. Brown,8,No,Yes,2025-05-19,2025-05-11,,4,MG300284,Synthetic training record
C100285,S200285,Arjun,,Chen,,Female,East Asian,Canadian,1958-08-02,68,175,60,Hazel,Black,Dark,A-,Left,Forearm scar,Dragon,Beard,Unknown,Married,766 Main St,Ottawa,Ontario,L18A2,555-4954,Theft,3,Open,M. Singh,8,No,Yes,2025-11-27,2025-11-24,,0,MG300285,Synthetic training record
C100286,S200286,Liam,,Johnson,,Female,Middle Eastern,Canadian,2002-02-17,24,182,92,Green,Gray,Medium,AB+,Left,Small scar,Tribal,Beard,Unknown,Married,553 Main St,Toronto,Ontario,L62A4,555-8975,Assault,5,Closed,A. Brown,11,No,Yes,2025-06-15,2025-06-08,2025-09-28,16,MG300286,Synthetic training record
C100287,S200287,Emma,,Williams,,Male,Black,Canadian,1964-06-07,62,178,69,Hazel,Black,Medium,O+,Left,Small scar,Tribal,None,Unknown,Single,667 Main St,Mississauga,Ontario,L24A6,555-1495,Theft,3,Under Investigation,S. Patel,0,Yes,Yes,2024-06-11,2024-06-05,,8,MG300287,Synthetic training record
C100288,S200288,Liam,,Johnson,,Female,East Asian,Canadian,1976-10-06,50,180,60,Blue,Blonde,Dark,A-,Right,None,None,Mustache,Unknown,Single,497 Main St,London,Ontario,L82A1,555-7463,Burglary,3,Under Investigation,L. Chen,5,Yes,Yes,2024-07-02,2024-06-28,,12,MG300288,Synthetic training record
C100289,S200289,Mia,,Martin,,Female,Middle Eastern,Canadian,1962-11-22,64,189,75,Green,Black,Light,B+,Right,Small scar,Tribal,Beard,Unknown,Single,773 Main St,Hamilton,Ontario,L40A7,555-2329,Assault,2,Open,L. Chen,2,No,No,2025-11-17,2025-11-12,,0,MG300289,Synthetic training record
C100290,S200290,Param,,Chen,,Female,Black,Canadian,1980-04-07,46,154,79,Brown,Black,Light,O+,Right,Small scar,Dragon,None,Unknown,Married,971 Main St,London,Ontario,L22A5,555-7481,Robbery,1,Closed,J. Carter,18,Yes,No,2025-11-14,2025-11-11,2026-05-06,14,MG300290,Synthetic training record
C100291,S200291,Emma,,Garcia,,Female,White,Canadian,2000-07-17,26,176,120,Brown,Gray,Dark,O+,Left,None,None,None,Unknown,Married,560 Main St,Hamilton,Ontario,L72A2,555-3880,Vandalism,5,Under Investigation,M. Singh,21,No,Yes,2025-06-02,2025-05-26,,6,MG300291,Synthetic training record
C100292,S200292,Olivia,,Singh,,Male,Latino,Canadian,1988-07-26,38,170,118,Blue,Gray,Dark,A-,Right,None,None,Beard,Unknown,Single,994 Main St,Toronto,Ontario,L59A9,555-1911,Theft,5,Under Investigation,A. Brown,20,Yes,No,2026-02-16,2026-02-07,,0,MG300292,Synthetic training record
C100293,S200293,Aiden,,Williams,,Male,White,Canadian,1966-03-15,60,185,113,Green,Gray,Medium,A+,Left,Forearm scar,Dragon,None,Unknown,Single,986 Main St,Waterloo,Ontario,L73A9,555-7957,Robbery,3,Open,J. Carter,18,Yes,Yes,2026-04-29,2026-04-25,,6,MG300293,Synthetic training record
C100294,S200294,Olivia,,Lee,,Female,Indigenous,Canadian,1969-01-23,57,192,116,Blue,Black,Medium,O+,Left,None,None,None,Unknown,Married,924 Main St,Hamilton,Ontario,L68A7,555-5378,Vandalism,2,Under Investigation,J. Carter,21,No,Yes,2025-11-29,2025-11-27,,1,MG300294,Synthetic training record
C100295,S200295,Arjun,,Taylor,,Male,South Asian,Canadian,1985-05-26,41,151,64,Green,Gray,Light,O+,Left,Small scar,Tribal,Mustache,Unknown,Single,676 Main St,Mississauga,Ontario,L62A1,555-7762,Burglary,1,Under Investigation,A. Brown,22,No,No,2024-12-04,2024-12-04,,4,MG300295,Synthetic training record
C100296,S200296,Sophia,,Singh,,Female,Black,Canadian,2003-11-06,23,192,118,Hazel,Gray,Dark,B+,Left,None,None,Mustache,Unknown,Married,200 Main St,Brampton,Ontario,L35A6,555-2575,Fraud,2,Open,M. Singh,15,Yes,Yes,2025-07-23,2025-07-21,,12,MG300296,Synthetic training record
C100297,S200297,Lucas,,Lee,,Male,Indigenous,Canadian,1981-03-28,45,178,95,Hazel,Blonde,Dark,O+,Left,Forearm scar,Tribal,None,Unknown,Married,425 Main St,Mississauga,Ontario,L50A8,555-2941,Burglary,3,Closed,M. Singh,1,No,No,2025-03-16,2025-03-08,2025-12-18,5,MG300297,Synthetic training record
C100298,S200298,Mia,,Brown,,Female,Latino,Canadian,1990-11-11,36,172,63,Hazel,Blonde,Light,A+,Left,Forearm scar,Tribal,Mustache,Unknown,Single,727 Main St,Toronto,Ontario,L95A5,555-6157,Assault,5,Open,A. Brown,25,No,No,2024-03-23,2024-03-16,,20,MG300298,Synthetic training record
C100299,S200299,Ava,,Williams,,Female,Latino,Canadian,1992-09-15,34,163,87,Hazel,Blonde,Dark,B+,Left,Forearm scar,Tribal,Mustache,Unknown,Single,237 Main St,Brampton,Ontario,L38A2,555-3089,Robbery,4,Under Investigation,J. Carter,1,Yes,No,2025-09-10,2025-09-09,,4,MG300299,Synthetic training record
C100300,S200300,Aiden,,Garcia,,Female,Indigenous,Canadian,2002-08-21,24,152,70,Brown,Black,Light,A+,Left,None,Tribal,None,Unknown,Single,28 Main St,Ottawa,Ontario,L22A2,555-3188,Robbery,4,Closed,L. Chen,5,Yes,Yes,2024-12-30,2024-12-21,2025-03-21,18,MG300300,Synthetic training record
C100301,S200301,Emma,,Johnson,,Male,White,Canadian,1980-12-17,46,187,100,Hazel,Red,Dark,A-,Right,Forearm scar,Rose,None,Unknown,Single,153 Main St,Hamilton,Ontario,L78A0,555-6133,Robbery,2,Under Investigation,S. Patel,4,No,No,2024-12-02,2024-11-23,,8,MG300301,Synthetic training record
C100302,S200302,Mason,,Chen,,Male,Indigenous,Canadian,1985-07-09,41,171,60,Brown,Red,Medium,O+,Left,Small scar,None,None,Unknown,Single,984 Main St,London,Ontario,L35A1,555-5809,Fraud,3,Under Investigation,M. Singh,23,Yes,No,2024-02-03,2024-01-25,,19,MG300302,Synthetic training record
C100303,S200303,Emma,,Martin,,Female,Middle Eastern,Canadian,1989-11-01,37,183,105,Hazel,Blonde,Light,A+,Right,Forearm scar,Tribal,Beard,Unknown,Single,240 Main St,Toronto,Ontario,L34A4,555-7493,Assault,4,Under Investigation,L. Chen,17,Yes,Yes,2024-06-10,2024-06-08,,16,MG300303,Synthetic training record
C100304,S200304,Mason,,Singh,,Male,Middle Eastern,Canadian,1974-11-18,52,153,87,Blue,Brown,Medium,O+,Left,Small scar,None,Mustache,Unknown,Single,311 Main St,Toronto,Ontario,L15A0,555-3506,Fraud,5,Under Investigation,J. Carter,1,Yes,Yes,2025-06-11,2025-06-07,,11,MG300304,Synthetic training record
C100305,S200305,Olivia,,Brown,,Male,East Asian,Canadian,1987-07-13,39,162,72,Brown,Brown,Light,A-,Right,Forearm scar,None,Mustache,Unknown,Married,794 Main St,Toronto,Ontario,L46A8,555-7288,Cybercrime,3,Closed,M. Singh,24,No,Yes,2025-02-15,2025-02-05,2025-09-02,9,MG300305,Synthetic training record
C100306,S200306,Ava,,Brown,,Female,White,Canadian,2003-04-04,23,150,85,Hazel,Brown,Medium,A-,Left,Forearm scar,Rose,Mustache,Unknown,Married,782 Main St,Waterloo,Ontario,L59A2,555-5177,Vandalism,2,Closed,S. Patel,25,No,Yes,2025-06-19,2025-06-17,2026-02-23,12,MG300306,Synthetic training record
C100307,S200307,Arjun,,Lee,,Male,White,Canadian,1966-08-10,60,167,109,Blue,Red,Dark,AB+,Right,Small scar,Rose,Beard,Unknown,Married,386 Main St,Toronto,Ontario,L63A7,555-4585,Vandalism,3,Under Investigation,M. Singh,15,No,Yes,2026-03-18,2026-03-13,,20,MG300307,Synthetic training record
C100308,S200308,Priya,,Patel,,Female,Black,Canadian,2006-01-19,20,166,72,Green,Brown,Light,A-,Left,Forearm scar,Rose,Beard,Unknown,Single,265 Main St,Mississauga,Ontario,L22A2,555-4569,Assault,3,Closed,J. Carter,16,No,No,2024-10-23,2024-10-22,2025-04-27,19,MG300308,Synthetic training record
C100309,S200309,Noah,,Smith,,Female,Latino,Canadian,1961-09-13,65,181,95,Blue,Blonde,Medium,A-,Left,Forearm scar,Tribal,Beard,Unknown,Single,934 Main St,Mississauga,Ontario,L97A0,555-1259,Assault,4,Open,M. Singh,6,No,No,2026-01-04,2026-01-01,,8,MG300309,Synthetic training record
C100659,S200310,Ethan,,Chen,,Male,Latino,Canadian,1967-01-27,59,166,97,Blue,Brown,Light,B+,Left,None,Dragon,None,Unknown,Single,393 Main St,Hamilton,Ontario,L77A8,555-7610,Fraud,2,Open,S. Patel,5,Yes,Yes,2026-04-22,2026-04-14,,13,MG300310,Synthetic training record
C100311,S200311,Liam,,Singh,,Male,Latino,Canadian,2007-10-06,19,188,117,Green,Gray,Dark,A-,Right,Forearm scar,Rose,Beard,Unknown,Married,416 Main St,Waterloo,Ontario,L94A2,555-3148,Vandalism,2,Under Investigation,S. Patel,20,No,Yes,2025-05-10,2025-05-08,,16,MG300311,Synthetic training record
C100312,S200312,Emma,,Lee,,Male,South Asian,Canadian,1966-01-21,60,158,54,Hazel,Brown,Medium,A-,Left,Forearm scar,None,Beard,Unknown,Married,29 Main St,Waterloo,Ontario,L58A8,555-1013,Fraud,1,Closed,J. Carter,9,Yes,No,2025-07-30,2025-07-23,2026-04-17,11,MG300312,Synthetic training record
C100313,S200313,Noah,,Patel,,Male,Middle Eastern,Canadian,1961-10-09,65,198,87,Blue,Blonde,Medium,B+,Right,Forearm scar,Dragon,Mustache,Unknown,Single,988 Main St,Hamilton,Ontario,L56A7,555-6055,Vandalism,5,Under Investigation,S. Patel,2,Yes,No,2025-11-26,2025-11-25,,6,MG300313,Synthetic training record
C100314,S200314,Olivia,,Smith,,Male,South Asian,Canadian,2004-09-13,22,190,59,Hazel,Gray,Medium,B+,Right,None,Dragon,Beard,Unknown,Single,755 Main St,Toronto,Ontario,L37A9,555-6571,Cybercrime,4,Under Investigation,M. Singh,19,Yes,Yes,2026-03-06,2026-02-27,,16,MG300314,Synthetic training record
C100315,S200315,Mason,,Wilson,,Female,Indigenous,Canadian,1988-05-10,38,191,115,Brown,Gray,Dark,A-,Left,Small scar,Dragon,Beard,Unknown,Single,70 Main St,Hamilton,Ontario,L36A0,555-1496,Burglary,3,Closed,S. Patel,13,No,No,2025-12-07,2025-11-27,2026-05-23,6,MG300315,Synthetic training record
C100316,S200316,Param,,Lee,,Female,White,Canadian,1974-08-02,52,199,71,Blue,Black,Dark,O+,Left,Forearm scar,Rose,None,Unknown,Married,84 Main St,Brampton,Ontario,L21A7,555-2056,Fraud,5,Closed,S. Patel,7,Yes,No,2024-12-28,2024-12-22,2025-07-17,13,MG300316,Synthetic training record
C100317,S200317,Mason,,Patel,,Male,Indigenous,Canadian,2005-07-22,21,169,94,Brown,Blonde,Light,B+,Right,Forearm scar,None,None,Unknown,Married,417 Main St,Mississauga,Ontario,L87A9,555-1128,Fraud,1,Closed,A. Brown,19,Yes,No,2026-04-18,2026-04-16,2027-01-06,13,MG300317,Synthetic training record
C100318,S200318,Amelia,,Wilson,,Female,Latino,Canadian,1961-12-13,65,177,62,Hazel,Blonde,Light,O+,Right,Small scar,Tribal,Beard,Unknown,Married,335 Main St,Hamilton,Ontario,L44A6,555-5713,Vandalism,5,Closed,L. Chen,21,Yes,Yes,2026-01-19,2026-01-12,2026-06-01,18,MG300318,Synthetic training record
C100319,S200319,Aiden,,Singh,,Male,Latino,Canadian,2008-12-14,18,161,102,Hazel,Black,Dark,AB+,Left,None,Rose,None,Unknown,Married,414 Main St,Toronto,Ontario,L36A1,555-8611,Assault,3,Open,M. Singh,1,Yes,Yes,2024-05-10,2024-05-02,,12,MG300319,Synthetic training record
C100320,S200320,Ethan,,Chen,,Female,White,Canadian,1961-03-02,65,199,91,Blue,Gray,Medium,A+,Right,None,None,Mustache,Unknown,Single,69 Main St,Waterloo,Ontario,L94A1,555-8777,Vandalism,3,Open,J. Carter,12,No,No,2024-09-08,2024-08-30,,3,MG300320,Synthetic training record
C100321,S200321,Amelia,,Johnson,,Female,Indigenous,Canadian,1973-12-11,53,192,51,Hazel,Brown,Dark,A-,Left,Forearm scar,Dragon,Beard,Unknown,Married,374 Main St,London,Ontario,L15A4,555-3970,Vandalism,1,Under Investigation,A. Brown,18,Yes,Yes,2024-05-15,2024-05-05,,3,MG300321,Synthetic training record
C100322,S200322,Noah,,Wilson,,Female,Latino,Canadian,1991-05-15,35,169,86,Hazel,Black,Medium,B+,Left,Forearm scar,Dragon,Beard,Unknown,Married,817 Main St,London,Ontario,L34A7,555-7573,Theft,1,Under Investigation,A. Brown,16,No,Yes,2025-10-29,2025-10-26,,3,MG300322,Synthetic training record
C100323,S200323,Mia,,Wilson,,Female,Black,Canadian,1977-02-25,49,189,92,Hazel,Blonde,Medium,A+,Right,None,None,Mustache,Unknown,Married,73 Main St,Brampton,Ontario,L61A6,555-3374,Robbery,4,Open,L. Chen,8,Yes,Yes,2025-05-02,2025-04-22,,19,MG300323,Synthetic training record
C100324,S200324,Amelia,,Taylor,,Male,Latino,Canadian,1959-09-21,67,181,107,Blue,Red,Light,A-,Left,Small scar,Rose,Mustache,Unknown,Single,847 Main St,Hamilton,Ontario,L46A0,555-5554,Burglary,1,Open,J. Carter,18,No,Yes,2025-06-25,2025-06-19,,20,MG300324,Synthetic training record
C100325,S200325,Amelia,,Williams,,Female,Indigenous,Canadian,1986-04-14,40,173,69,Brown,Black,Light,AB+,Right,Small scar,Rose,Mustache,Unknown,Single,757 Main St,Hamilton,Ontario,L22A2,555-2213,Theft,5,Under Investigation,A. Brown,21,Yes,No,2025-03-24,2025-03-18,,20,MG300325,Synthetic training record
C100326,S200326,Aiden,,Chen,,Female,Indigenous,Canadian,1973-07-21,53,179,111,Blue,Blonde,Light,O+,Right,Small scar,Dragon,Beard,Unknown,Single,731 Main St,Waterloo,Ontario,L89A6,555-7631,Theft,5,Under Investigation,J. Carter,21,Yes,Yes,2024-01-19,2024-01-10,,6,MG300326,Synthetic training record
C100327,S200327,Ethan,,Smith,,Female,White,Canadian,1961-07-16,65,178,57,Green,Red,Dark,A+,Right,Small scar,Dragon,Beard,Unknown,Single,611 Main St,London,Ontario,L48A5,555-4031,Robbery,4,Closed,L. Chen,24,No,Yes,2024-05-05,2024-05-05,2024-05-23,19,MG300327,Synthetic training record
C100328,S200328,Mia,,Johnson,,Female,Black,Canadian,1960-05-06,66,152,73,Green,Brown,Medium,AB+,Left,Small scar,Rose,None,Unknown,Single,128 Main St,Brampton,Ontario,L84A5,555-4969,Cybercrime,2,Under Investigation,J. Carter,6,Yes,No,2025-11-21,2025-11-15,,10,MG300328,Synthetic training record
C100329,S200329,Emma,,Lee,,Male,South Asian,Canadian,1984-11-25,42,158,99,Green,Red,Medium,B+,Left,Small scar,Tribal,None,Unknown,Married,886 Main St,Mississauga,Ontario,L63A7,555-9143,Assault,4,Open,S. Patel,6,Yes,No,2025-06-16,2025-06-08,,9,MG300329,Synthetic training record
C100330,S200330,Ethan,,Singh,,Male,Black,Canadian,2001-04-24,25,160,81,Blue,Red,Dark,B+,Right,Small scar,None,Beard,Unknown,Single,199 Main St,London,Ontario,L92A9,555-2958,Assault,5,Closed,S. Patel,2,Yes,Yes,2024-07-10,2024-07-05,2025-02-15,8,MG300330,Synthetic training record
C100331,S200331,Priya,,Lee,,Female,Indigenous,Canadian,1996-05-15,30,193,68,Green,Gray,Medium,O+,Right,None,Rose,Beard,Unknown,Married,90 Main St,Hamilton,Ontario,L61A8,555-2364,Fraud,5,Closed,M. Singh,5,Yes,No,2025-03-10,2025-03-10,2025-06-02,13,MG300331,Synthetic training record
C100332,S200332,Ava,,Martin,,Female,East Asian,Canadian,1960-08-23,66,186,58,Brown,Red,Medium,O+,Right,None,Dragon,Mustache,Unknown,Single,512 Main St,Ottawa,Ontario,L97A4,555-5482,Theft,5,Closed,M. Singh,2,No,No,2024-01-15,2024-01-07,2024-10-18,5,MG300332,Synthetic training record
C100333,S200333,Param,,Wilson,,Female,East Asian,Canadian,2005-04-24,21,198,96,Green,Blonde,Light,B+,Left,None,Dragon,Beard,Unknown,Single,31 Main St,Mississauga,Ontario,L22A7,555-5403,Assault,3,Under Investigation,S. Patel,8,No,No,2024-03-20,2024-03-15,,11,MG300333,Synthetic training record
C100334,S200334,Olivia,,Chen,,Male,East Asian,Canadian,1958-05-06,68,196,83,Blue,Black,Dark,O+,Right,Small scar,Dragon,None,Unknown,Married,707 Main St,Toronto,Ontario,L23A6,555-6761,Cybercrime,2,Under Investigation,L. Chen,8,No,No,2025-12-25,2025-12-23,,16,MG300334,Synthetic training record
C100335,S200335,Mason,,Patel,,Male,East Asian,Canadian,1983-04-17,43,164,107,Brown,Black,Medium,A-,Left,Small scar,None,Mustache,Unknown,Married,47 Main St,Ottawa,Ontario,L65A2,555-6223,Cybercrime,4,Under Investigation,S. Patel,4,Yes,No,2025-05-12,2025-05-02,,14,MG300335,Synthetic training record
C100336,S200336,Mia,,Lee,,Male,East Asian,Canadian,1957-01-08,69,171,72,Green,Gray,Light,O+,Right,None,Tribal,None,Unknown,Married,838 Main St,Waterloo,Ontario,L30A5,555-6774,Robbery,1,Closed,S. Patel,8,No,No,2024-04-26,2024-04-20,2024-05-22,5,MG300336,Synthetic training record
C100337,S200337,Priya,,Taylor,,Female,Latino,Canadian,1956-08-22,70,178,84,Green,Black,Light,A+,Right,None,None,Beard,Unknown,Single,558 Main St,Toronto,Ontario,L52A7,555-5300,Theft,4,Under Investigation,A. Brown,9,Yes,Yes,2026-03-10,2026-03-03,,11,MG300337,Synthetic training record
C100338,S200338,Noah,,Smith,,Female,Latino,Canadian,2004-05-19,22,172,52,Green,Gray,Light,O+,Left,None,Rose,Mustache,Unknown,Married,635 Main St,Ottawa,Ontario,L67A1,555-5465,Fraud,3,Under Investigation,J. Carter,4,No,No,2024-12-12,2024-12-10,,18,MG300338,Synthetic training record
C100339,S200339,Arjun,,Wilson,,Female,East Asian,Canadian,2000-01-22,26,194,58,Hazel,Black,Medium,B+,Right,Forearm scar,None,Beard,Unknown,Married,368 Main St,Waterloo,Ontario,L14A9,555-3037,Fraud,4,Open,J. Carter,11,Yes,Yes,2026-03-04,2026-03-04,,13,MG300339,Synthetic training record
C100340,S200340,Param,,Taylor,,Female,Latino,Canadian,1984-08-12,42,196,110,Blue,Red,Dark,B+,Right,None,Rose,Mustache,Unknown,Married,278 Main St,Brampton,Ontario,L90A0,555-2182,Vandalism,5,Closed,M. Singh,13,No,No,2026-04-07,2026-04-02,2026-05-29,4,MG300340,Synthetic training record
C100341,S200341,Liam,,Johnson,,Female,White,Canadian,2004-10-28,22,152,67,Brown,Brown,Medium,A+,Left,Small scar,Tribal,Beard,Unknown,Single,89 Main St,Hamilton,Ontario,L74A6,555-8342,Cybercrime,4,Under Investigation,S. Patel,12,Yes,No,2026-04-08,2026-03-30,,14,MG300341,Synthetic training record
C100342,S200342,Olivia,,Martin,,Female,Middle Eastern,Canadian,2002-06-24,24,174,114,Blue,Gray,Dark,B+,Right,None,Tribal,Beard,Unknown,Married,378 Main St,Hamilton,Ontario,L47A1,555-5311,Theft,4,Open,L. Chen,12,Yes,Yes,2025-09-02,2025-08-23,,5,MG300342,Synthetic training record
C100343,S200343,Olivia,,Lee,,Female,Black,Canadian,1956-03-14,70,184,82,Blue,Black,Medium,A-,Right,None,None,Beard,Unknown,Single,538 Main St,Waterloo,Ontario,L66A7,555-8138,Assault,3,Closed,M. Singh,8,No,Yes,2025-04-18,2025-04-15,2025-07-15,18,MG300343,Synthetic training record
C100344,S200344,Amelia,,Martin,,Male,Indigenous,Canadian,2005-05-12,21,163,116,Green,Brown,Light,A-,Right,Small scar,Tribal,Mustache,Unknown,Single,244 Main St,Mississauga,Ontario,L18A4,555-5497,Cybercrime,1,Under Investigation,J. Carter,1,Yes,Yes,2024-04-18,2024-04-15,,17,MG300344,Synthetic training record
